"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","5","ATTINY2313A-PU-ND","ATTINY2313A-PU","IC MCU 8BIT 2KB FLASH 20DIP","","5","0","1.83000","9.15"
"2","5","1481-1081-ND","EA DOGM163L-A","LCD MOD 48 DIG 16 X 3 REFLECTIVE","","5","0","18.79000","93.95"
"3","10","PEC12R-4220F-S0024-ND","PEC12R-4220F-S0024","ROTARY ENCODER MECHANICAL 24PPR","","10","0","1.43100","14.31"
"4","5","EG2011-ND","PS1024ABLK","SWITCH PUSH SPST-NO 3A 125V","","5","0","1.63000","8.15"
"5","5","BC2032-E2-ND","BC2032-E2","BATT HLDR COIN 20MM 1 CEL PC PIN","","5","0","1.02000","5.10"
"6","5","CKN11874-ND","L101011ML04Q","SWITCH SLIDE SPST 4A 125V","","5","0","3.83000","19.15"
